metric,bin,left,right,count
net,36,-81.0496237716,-77.5829530694,40
net,37,-77.5829530694,-74.1162823673,53
net,38,-74.1162823673,-70.6496116651,62
net,39,-70.6496116651,-67.1829409629,73
net,40,-67.1829409629,-63.7162702608,74
net,41,-63.7162702608,-60.2495995586,93
net,42,-60.2495995586,-56.7829288564,118
net,43,-56.7829288564,-53.3162581543,126
net,44,-53.3162581543,-49.8495874521,162
net,45,-49.8495874521,-46.3829167499,167
net,46,-46.3829167499,-42.9162460478,203
net,47,-42.9162460478,-39.4495753456,225
net,48,-39.4495753456,-35.9829046434,262
net,49,-35.9829046434,-32.5162339413,304
net,50,-32.5162339413,-29.0495632391,353
net,51,-29.0495632391,-25.5828925369,400
net,52,-25.5828925369,-22.1162218348,471
net,53,-22.1162218348,-18.6495511326,582
net,54,-18.6495511326,-15.1828804304,741
net,55,-15.1828804304,-11.7162097283,943
net,56,-11.7162097283,-8.2495390261,1148
net,57,-8.2495390261,-4.7828683239,1359
net,58,-4.7828683239,-1.3161976218,1758
net,59,-1.3161976218,2.1504730804,2342
net,60,2.1504730804,5.6171437826,2465
net,61,5.6171437826,9.0838144847,1898
net,62,9.0838144847,12.5504851869,1329
net,63,12.5504851869,16.0171558891,908
net,64,16.0171558891,19.4838265912,527
net,65,19.4838265912,22.9504972934,261
net,66,22.9504972934,26.4171679956,123
net,67,26.4171679956,29.8838386977,60
net,68,29.8838386977,33.3505093999,17
net,69,33.3505093999,36.8171801021,15
acute,0,0.1716753322,2.8660127127,4115
acute,1,2.8660127127,5.5603500931,3480
acute,2,5.5603500931,8.2546874736,2479
acute,3,8.2546874736,10.9490248541,1621
acute,4,10.9490248541,13.6433622346,1206
acute,5,13.6433622346,16.3376996151,1024
acute,6,16.3376996151,19.0320369955,867
acute,7,19.0320369955,21.7263743760,706
acute,8,21.7263743760,24.4207117565,569
acute,9,24.4207117565,27.1150491370,490
acute,10,27.1150491370,29.8093865174,381
acute,11,29.8093865174,32.5037238979,402
acute,12,32.5037238979,35.1980612784,292
acute,13,35.1980612784,37.8923986589,253
acute,14,37.8923986589,40.5867360393,228
acute,15,40.5867360393,43.2810734198,205
acute,16,43.2810734198,45.9754108003,156
acute,17,45.9754108003,48.6697481808,141
acute,18,48.6697481808,51.3640855613,152
acute,19,51.3640855613,54.0584229417,129
acute,20,54.0584229417,56.7527603222,107
acute,21,56.7527603222,59.4470977027,96
acute,22,59.4470977027,62.1414350832,94
acute,23,62.1414350832,64.8357724636,86
acute,24,64.8357724636,67.5301098441,71
acute,25,67.5301098441,70.2244472246,60
acute,26,70.2244472246,72.9187846051,50
acute,27,72.9187846051,75.6131219855,60
acute,28,75.6131219855,78.3074593660,55
acute,29,78.3074593660,81.0017967465,46
acute,30,81.0017967465,83.6961341270,32
acute,31,83.6961341270,86.3904715075,34
acute,32,86.3904715075,89.0848088879,30
acute,33,89.0848088879,91.7791462684,36
acute,34,91.7791462684,94.4734836489,25
acute,35,94.4734836489,97.1678210294,15
acute,36,97.1678210294,99.8621584098,26
acute,37,99.8621584098,102.5564957903,15
acute,38,102.5564957903,105.2508331708,17
acute,39,105.2508331708,107.9451705513,13
acute,40,107.9451705513,110.6395079317,18
acute,41,110.6395079317,113.3338453122,7
acute,42,113.3338453122,116.0281826927,9
acute,43,116.0281826927,118.7225200732,11
acute,44,118.7225200732,121.4168574537,15
