metric,bin,left,right,count
hangover,0,0.0000000000,0.0000000000,20000
hangover,1,0.0000000000,0.0000000000,0
hangover,2,0.0000000000,0.0000000000,0
hangover,3,0.0000000000,0.0000000000,0
hangover,4,0.0000000000,0.0000000000,0
hangover,5,0.0000000000,0.0000000000,0
hangover,6,0.0000000000,0.0000000000,0
hangover,7,0.0000000000,0.0000000000,0
hangover,8,0.0000000000,0.0000000000,0
hangover,9,0.0000000000,0.0000000000,0
hangover,10,0.0000000000,0.0000000000,0
hangover,11,0.0000000000,0.0000000000,0
hangover,12,0.0000000000,0.0000000000,0
hangover,13,0.0000000000,0.0000000000,0
hangover,14,0.0000000000,0.0000000000,0
hangover,15,0.0000000000,0.0000000000,0
hangover,16,0.0000000000,0.0000000000,0
hangover,17,0.0000000000,0.0000000000,0
hangover,18,0.0000000000,0.0000000000,0
hangover,19,0.0000000000,0.0000000000,0
hangover,20,0.0000000000,0.0000000000,0
hangover,21,0.0000000000,0.0000000000,0
hangover,22,0.0000000000,0.0000000000,0
hangover,23,0.0000000000,0.0000000000,0
hangover,24,0.0000000000,0.0000000000,0
hangover,25,0.0000000000,0.0000000000,0
hangover,26,0.0000000000,0.0000000000,0
hangover,27,0.0000000000,0.0000000000,0
hangover,28,0.0000000000,0.0000000000,0
hangover,29,0.0000000000,0.0000000000,0
hangover,30,0.0000000000,0.0000000000,0
hangover,31,0.0000000000,0.0000000000,0
hangover,32,0.0000000000,0.0000000000,0
hangover,33,0.0000000000,0.0000000000,0
hangover,34,0.0000000000,0.0000000000,0
hangover,35,0.0000000000,0.0000000000,0
hangover,36,0.0000000000,0.0000000000,0
hangover,37,0.0000000000,0.0000000000,0
hangover,38,0.0000000000,0.0000000000,0
hangover,39,0.0000000000,0.0000000000,0
hangover,40,0.0000000000,0.0000000000,0
hangover,41,0.0000000000,0.0000000000,0
hangover,42,0.0000000000,0.0000000000,0
hangover,43,0.0000000000,0.0000000000,0
hangover,44,0.0000000000,0.0000000000,0
hangover,45,0.0000000000,0.0000000000,0
hangover,46,0.0000000000,0.0000000000,0
hangover,47,0.0000000000,0.0000000000,0
hangover,48,0.0000000000,0.0000000000,0
