# Summary of Summaries

This file aggregates p01..p99 percentile outputs across major runs.

Runs included: baseline, no_drink_and_drive, no_binge, abstinence, baseline_seed_301, baseline_seed_302, baseline_seed_303, baseline_seed_304, baseline_seed_305, baseline_daily_mode

## Positive utilons
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
| p25 | 0.0596 | 0.0594 | 0.0594 | 0.0000 | 0.0601 | 0.0597 | 0.0604 | 0.0593 | 0.0594 | 0.0824 |
| p50 | 0.1026 | 0.1027 | 0.1031 | 0.0000 | 0.1026 | 0.1033 | 0.1045 | 0.1038 | 0.1036 | 0.1446 |
| p75 | 0.1819 | 0.1817 | 0.1831 | 0.0000 | 0.1815 | 0.1815 | 0.1874 | 0.1844 | 0.1826 | 0.2584 |
| p90 | 0.3005 | 0.3028 | 0.3010 | 0.0000 | 0.2983 | 0.2978 | 0.3059 | 0.2965 | 0.2985 | 0.4168 |
| p95 | 0.3848 | 0.3926 | 0.3899 | 0.0000 | 0.3935 | 0.3914 | 0.3926 | 0.3837 | 0.3818 | 0.5343 |
| p99 | 0.5692 | 0.5896 | 0.5725 | 0.0000 | 0.5823 | 0.5888 | 0.6032 | 0.5730 | 0.5797 | 0.8432 |

## Negative breakdown: AUD Markov
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
|---|---|---|---|---|---|---|---|---|---|---|
| p01 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p05 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p10 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p25 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p50 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p75 | 3.6420 | 3.4890 | 0.3648 | 0.3268 | 3.7289 | 3.6696 | 3.5181 | 3.4964 | 3.5591 | 3.3104 |
| p90 | 11.6518 | 11.5172 | 4.3165 | 4.1650 | 11.8032 | 11.7999 | 11.5999 | 11.7658 | 11.6609 | 11.7142 |
| p95 | 18.6022 | 18.5195 | 8.3155 | 8.0440 | 19.0141 | 19.1578 | 18.7531 | 19.2336 | 19.0027 | 18.8292 |
| p99 | 35.3009 | 34.5825 | 20.6740 | 19.7050 | 37.8412 | 37.0761 | 35.7731 | 36.0801 | 35.5335 | 35.9760 |

## IHD protection term
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
|---|---|---|---|---|---|---|---|---|---|---|
| p01 | -0.1127 | -0.1127 | -0.1502 | -0.1502 | -0.1252 | -0.1252 | -0.1252 | -0.1252 | -0.1252 | -0.1502 |
| p05 | -0.0417 | -0.0376 | -0.0751 | -0.0751 | -0.0438 | -0.0438 | -0.0438 | -0.0438 | -0.0438 | -0.0736 |
| p10 | -0.0167 | -0.0157 | -0.0438 | -0.0417 | -0.0167 | -0.0188 | -0.0167 | -0.0167 | -0.0188 | -0.0389 |
| p25 | 0.0000 | 0.0000 | -0.0104 | -0.0104 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | -0.0094 |
| p50 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p75 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p90 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p95 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
| p99 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
