metric,bin,left,right,count
hangover,46,0.0000000000,0.0000000000,0
hangover,47,0.0000000000,0.0000000000,0
hangover,48,0.0000000000,0.0000000000,0
hangover,49,0.0000000000,0.0000000000,0
hangover,50,0.0000000000,0.0000000000,0
hangover,51,0.0000000000,0.0000000000,0
hangover,52,0.0000000000,0.0000000000,0
hangover,53,0.0000000000,0.0000000000,0
hangover,54,0.0000000000,0.0000000000,0
hangover,55,0.0000000000,0.0000000000,0
hangover,56,0.0000000000,0.0000000000,0
hangover,57,0.0000000000,0.0000000000,0
hangover,58,0.0000000000,0.0000000000,0
hangover,59,0.0000000000,0.0000000000,0
hangover,60,0.0000000000,0.0000000000,0
hangover,61,0.0000000000,0.0000000000,0
hangover,62,0.0000000000,0.0000000000,0
hangover,63,0.0000000000,0.0000000000,0
hangover,64,0.0000000000,0.0000000000,0
hangover,65,0.0000000000,0.0000000000,0
hangover,66,0.0000000000,0.0000000000,0
hangover,67,0.0000000000,0.0000000000,0
hangover,68,0.0000000000,0.0000000000,0
hangover,69,0.0000000000,0.0000000000,0
chronic,0,0.0000000000,0.0000000000,20000
chronic,1,0.0000000000,0.0000000000,0
chronic,2,0.0000000000,0.0000000000,0
chronic,3,0.0000000000,0.0000000000,0
chronic,4,0.0000000000,0.0000000000,0
chronic,5,0.0000000000,0.0000000000,0
chronic,6,0.0000000000,0.0000000000,0
chronic,7,0.0000000000,0.0000000000,0
chronic,8,0.0000000000,0.0000000000,0
chronic,9,0.0000000000,0.0000000000,0
chronic,10,0.0000000000,0.0000000000,0
chronic,11,0.0000000000,0.0000000000,0
chronic,12,0.0000000000,0.0000000000,0
chronic,13,0.0000000000,0.0000000000,0
chronic,14,0.0000000000,0.0000000000,0
chronic,15,0.0000000000,0.0000000000,0
chronic,16,0.0000000000,0.0000000000,0
chronic,17,0.0000000000,0.0000000000,0
chronic,18,0.0000000000,0.0000000000,0
chronic,19,0.0000000000,0.0000000000,0
chronic,20,0.0000000000,0.0000000000,0
chronic,21,0.0000000000,0.0000000000,0
chronic,22,0.0000000000,0.0000000000,0
chronic,23,0.0000000000,0.0000000000,0
chronic,24,0.0000000000,0.0000000000,0
chronic,25,0.0000000000,0.0000000000,0
chronic,26,0.0000000000,0.0000000000,0
chronic,27,0.0000000000,0.0000000000,0
chronic,28,0.0000000000,0.0000000000,0
chronic,29,0.0000000000,0.0000000000,0
