metric,bin,left,right,count
ihd,6,-0.1831504043,-0.1802886792,0
ihd,7,-0.1802886792,-0.1774269542,0
ihd,8,-0.1774269542,-0.1745652291,34
ihd,9,-0.1745652291,-0.1717035040,0
ihd,10,-0.1717035040,-0.1688417790,0
ihd,11,-0.1688417790,-0.1659800539,0
ihd,12,-0.1659800539,-0.1631183288,0
ihd,13,-0.1631183288,-0.1602566038,0
ihd,14,-0.1602566038,-0.1573948787,0
ihd,15,-0.1573948787,-0.1545331536,0
ihd,16,-0.1545331536,-0.1516714286,0
ihd,17,-0.1516714286,-0.1488097035,56
ihd,18,-0.1488097035,-0.1459479784,0
ihd,19,-0.1459479784,-0.1430862534,0
ihd,20,-0.1430862534,-0.1402245283,0
ihd,21,-0.1402245283,-0.1373628032,0
ihd,22,-0.1373628032,-0.1345010782,0
ihd,23,-0.1345010782,-0.1316393531,0
ihd,24,-0.1316393531,-0.1287776280,31
ihd,25,-0.1287776280,-0.1259159030,0
ihd,26,-0.1259159030,-0.1230541779,37
ihd,27,-0.1230541779,-0.1201924528,0
ihd,28,-0.1201924528,-0.1173307278,0
ihd,29,-0.1173307278,-0.1144690027,0
ihd,30,-0.1144690027,-0.1116072776,36
ihd,31,-0.1116072776,-0.1087455526,0
ihd,32,-0.1087455526,-0.1058838275,0
ihd,33,-0.1058838275,-0.1030221024,0
ihd,34,-0.1030221024,-0.1001603774,0
ihd,35,-0.1001603774,-0.0972986523,61
ihd,36,-0.0972986523,-0.0944369272,0
ihd,37,-0.0944369272,-0.0915752022,29
ihd,38,-0.0915752022,-0.0887134771,0
ihd,39,-0.0887134771,-0.0858517520,68
ihd,40,-0.0858517520,-0.0829900270,0
ihd,41,-0.0829900270,-0.0801283019,0
ihd,42,-0.0801283019,-0.0772665768,0
ihd,43,-0.0772665768,-0.0744048518,101
ihd,44,-0.0744048518,-0.0715431267,0
ihd,45,-0.0715431267,-0.0686814016,0
ihd,46,-0.0686814016,-0.0658196765,38
ihd,47,-0.0658196765,-0.0629579515,35
ihd,48,-0.0629579515,-0.0600962264,49
ihd,49,-0.0600962264,-0.0572345013,47
ihd,50,-0.0572345013,-0.0543727763,31
ihd,51,-0.0543727763,-0.0515110512,0
ihd,52,-0.0515110512,-0.0486493261,131
ihd,53,-0.0486493261,-0.0457876011,35
ihd,54,-0.0457876011,-0.0429258760,91
ihd,55,-0.0429258760,-0.0400641509,36
ihd,56,-0.0400641509,-0.0372024259,90
ihd,57,-0.0372024259,-0.0343407008,0
ihd,58,-0.0343407008,-0.0314789757,107
ihd,59,-0.0314789757,-0.0286172507,200
ihd,60,-0.0286172507,-0.0257555256,0
ihd,61,-0.0257555256,-0.0228938005,221
ihd,62,-0.0228938005,-0.0200320755,201
ihd,63,-0.0200320755,-0.0171703504,95
ihd,64,-0.0171703504,-0.0143086253,278
ihd,65,-0.0143086253,-0.0114469003,94
ihd,66,-0.0114469003,-0.0085851752,174
ihd,67,-0.0085851752,-0.0057234501,359
ihd,68,-0.0057234501,-0.0028617251,248
ihd,69,-0.0028617251,0.0000000000,16958
